,Sample_Point_(SP),Year,Latitude,Longitude,Depth,Rake_Abundance,Rake_Abundance_#,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Lemna_minor,Lemna_trisulca,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_pectinatus,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris
249,250,2010,42.9339217,75.8616015,,M,3.0,,,,,M,S,,S,T,,,,,S,,,,S,,,,,,,,,,,,,,S,,,T,,,,,,,S,,
250,251,2010,42.9340037,75.8623891,,T,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,252,2010,42.9346773,75.8623507,,T,1.0,,,,T,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,T,,
252,253,2010,42.9348463,75.8615364,,S,1.5,,,,T,S,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,T,,
253,254,2010,42.935453,75.8619048,,M,2.5,,,,S,S,S,,,,,,,,S,,,,S,,,,,,,,,,,,T,,,,,T,,,,,T,,S,,
254,255,2010,42.936222,75.862192,,M,2.5,,,,,S,S,,,,,,,,,,,,S,,,,,,,,,,,S,S,,,,,,,,,,,,S,,
255,256,2010,42.936965,75.8619328,,S,2.0,,,,,S,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,S,,
256,257,2010,42.9376351,75.8617442,,M,2.5,,,,,S,S,,,S,,,,,S,,T,,S,,,,,,,,,,,,S,,,,S,T,,,,,,,S,,
257,258,2010,42.93851,75.86202,,S,2.0,,,,,T,S,,,S,,,,,,,,,,,,,,,,,,,,T,S,,,,,,,,,,,,S,,
258,259,2010,42.9393098,75.8623483,,M,3.0,,,,,S,S,,,S,,,,,T,,T,,S,,,,,,,,,,,S,S,,,,,,,,,T,,,S,,
259,260,2010,42.9400512,75.8628134,,S,1.5,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,T,,
260,261,2010,42.940772,75.8631556,,M,2.5,,,,S,S,S,,,S,,,,,,,,,S,,,,,,,,,,,,T,,,,,S,,,,,,,S,,
261,262,2010,42.9416008,75.8635156,,M,2.5,,,,,,S,,,S,,,,,,,S,,S,,,,,,,,,,,,,,,,,,,,,,,,S,,
262,263,2010,42.9422533,75.8635878,,S,2.0,,,,,S,T,,,,,,,,,,,,S,,,,,,,,,,,,S,,,,,,,,,,,,T,,
263,264,2010,42.9430995,75.8640906,,M*,2.0,,,,S,,,,,,,,,,,,S,,T,,,,,,,,,,,,T,,,,,,,,,,,,T,,
264,265,2010,42.9429013,75.8631802,,S,2.0,,,,T,S,S,,,,,,,,,,T,,T,,,,,,,,,,,S,,,,T,,,,,,,,,S,,
265,266,2010,42.9426494,75.8625223,,M,3.0,,,,S,M,T,,,S,,,,,,,T,,S,S,,,,,,,,,,,,,,,,,,,,,,,S,,
266,267,2010,42.9430003,75.8619454,,M,2.5,,,,,M,,,T,,,,,,,,,,,T,,,,,,,,,,S,,,,,,,,,,,,,T,,
267,268,2010,42.9433829,75.8627976,,D,4.0,,,,S,,S,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,S,,,,,S,,M,,
268,269,2010,42.9435759,75.8636029,,D,3.5,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,
269,270,2010,42.9439633,75.863017,,S,2.0,,,,S,,,,,,,,,,,,T,,T,,,,,,,,,,,,S,,,,,,,,,,,,,,
270,271,2010,42.9438943,75.8620015,,M,2.5,,,,,S,T,,,S,,,,,S,,T,,,,,,,,,,,,,S,S,,,,,S,,,,,,,S,,
271,272,2010,42.944415,75.8622345,,D,4.0,,,,M,S,S,,,S,,,,,,,,,S,,,,,,,,,,,,D,,,,,S,,,,T,,,S,,
272,273,2010,42.9445962,75.8629703,,S,2.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
273,274,2010,42.9451239,75.8629946,,D,3.5,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,M,S,,,,,S,,,,T,S,,S,,
274,275,2010,42.9456313,75.8626944,,M,2.5,,,,T,,S,,,S,,,,,,,,,S,,,,,,,,,,,,S,,,,,,,,,,,,S,,
275,276,2010,42.9461594,75.8629479,,M,2.5,,,,,T,S,,,S,,,,,,,S,,S,,,,,,,,,,,,,,,,,,,,,,,,S,,
276,277,2010,42.9467601,75.8633492,,M,2.5,,,,,,S,,,S,,,,,,,,,S,,,,,,,,,,,,S,,,,,T,,,,,,,S,,
277,278,2010,42.9474827,75.864002,,M,3.0,,,,S,S,S,,,M,,,,,,,S,,,,,,,,,,,,,,S,,,,,S,,,,,,,,,
278,279,2010,42.948238,75.8643577,,S,2.0,,,,,,S,,,S,,,,,,,S,,T,,,,,,,,,,,,,,,,,T,,,,,,,S,,
279,280,2010,42.9490292,75.8648116,,M,2.5,,,,T,S,S,,,S,,,,,,,T,T,S,,,,,,,,,,,,,,,T,,,,,,,,,T,,
280,281,2010,42.9500374,75.86442,,S,1.5,,,,,S,T,,,T,,,,,,,,S,T,,,,,,,,,,,,,,,,,,,,,,,,T,,
281,282,2010,42.9503459,75.8651772,,M,3.0,,,,S,S,,,,T,,,,,,,,,S,,,,,,,,,,,,S,,,S,S,,,,,,,,S,,
282,283,2010,42.9511007,75.8653115,,M,2.5,,,,S,,T,,,,,,,,,,S,,S,,,,,,,,,,,,S,,,T,,T,,,,,,,S,,
283,284,2010,42.9514316,75.8640595,,M,3.0,,,,T,S,T,,T,S,,,,,S,,S,,S,,,,,,,S,,,,S,,,,,,,T,,,T,,,S,,
284,285,2010,42.9521846,75.8644271,,T,1.0,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
285,286,2010,42.9519156,75.8653291,,M,3.0,,,,,S,T,,,S,,,,,,,S,,S,,,,,,,,,,,,S,,,,S,,,,,,,,S,,
286,287,2010,42.9526089,75.8660617,,M,2.5,,,,,S,T,,,,,,,,,,T,,S,,,,,,,,,,,,S,,,,S,,,,,,,,T,,
287,288,2010,42.9530069,75.8655404,,M,2.5,,,,,S,S,,,,,,,,,,T,,S,,,,,,,,,,,S,,,,,,,,,,,,,S,,
288,289,2010,42.9534451,75.8659849,,S,2.0,,,,,T,,,,S,,,,,,,S,T,T,,,,,,,,,,,S,,,,T,,,,,,,,,S,,
289,290,2010,42.9543054,75.8668946,,M,2.5,,,,,S,S,,,S,,,,,,,S,,S,,,,,,,,,,,,,,,,S,,,,,,,,S,,
290,291,2010,42.955272,75.8673729,,S,2.0,,,,T,T,S,,,T,,,,,,,,,S,T,,,,,,,,,,T,,,,,S,,,,,,,,T,,
291,292,2010,42.956164,75.8674418,,M,2.5,,,,,M,T,,,,,,,,,,,,S,,,,,,,,,,,S,,,,,S,,,,,,,,S,,
292,293,2010,42.9569735,75.8674162,,M,2.5,,,,T,S,S,,,S,,,,,,,T,,S,,,,,,,,,,,S,S,,,,,S,,,,,,,S,,
293,294,2010,42.95787,75.8675725,,M,2.5,,,,,M,,,T,,,,,,,,,T,T,,,,,,,,,,,S,,,,,,,,,,,,,S,,
294,295,2010,42.9576552,75.8686008,,M,3.0,,,,,M,T,,T,,,,,,,,S,,S,,,,,,,,,,,S,,,,,,,,,,,,,S,,
295,296,2010,42.9578858,75.8695389,,M,2.5,,,,S,S,S,,,,,,,,,,,,S,,,,,,,,,,,,S,,S,,,,,,,,,,S,,
296,297,2010,42.9586886,75.869385,,S,1.5,,,,,,S,,,S,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,
297,298,2010,42.9591254,75.8700775,,T,1.0,,,,,T,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,T,,
298,299,2010,42.9596503,75.8706272,,S,1.5,,,,,S,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,T,,,,,,T,,
299,300,2010,42.9604199,75.8713875,,M,2.5,,,,,S,,,T,T,,,,,,,,S,S,,S,,,,,,,,,,,,,,T,,,,,,,,S,,
300,301,2010,42.9612187,75.8718822,,S,2.0,,,,,S,T,,,S,,,,,,,,,S,,,,,,,,,,T,,,,,,,,,,,,S,,,,
301,302,2010,42.9618373,75.8722143,,M*,2.0,,,,S,S,S,,,S,,,,,,,,,S,,,,,,,,,,S,,,,,,,,,,,,,,S,,
302,303,2010,42.94849,75.86648,,D*,2.5,,,,,,T,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,304,2010,42.94836,75.86651,,T,1.0,,,,,,T,,,,,,,,,,T,,,,,,,,,,T,,,,,,,,,,,,,,,,T,,
0,1,2011,42.97768,75.88696,,M,62.5,,,,M,,S,,T,,,,T,T,,,S,,,T,T,,S,,,,T,,,,,,,T,,T,T,,T,,,S,T,,
1,2,2011,42.9775198,75.8872126,,M,62.5,,,,M,,S,,S,T,,,T,T,,,S,,,,T,,,,,,,,T,,,,,T,,S,T,,T,,,S,T,,
2,3,2011,42.9776614,75.887699,,D,156.25,,,,M,,T,,,T,,,T,T,,,M,,,,T,S,,,,,,,,,,,,,,T,T,,T,,,S,T,,
3,4,2011,42.9776742,75.8883369,,D,250.0,,,,M,T,T,,T,M,,,T,,S,,D,,,,S,S,,,,,,,,,,,,T,,S,,,T,,,,,,
4,5,2011,42.99775424,75.8893554,,D,250.0,,,,S,S,M,,,S,,,T,,S,,D,,,,S,,,,,,,,,,,,,T,,S,,,T,,,,T,,
5,6,2011,42.9772273,75.8898137,,D,156.25,,,,S,T,S,,T,S,,,,,,,M,,,,S,S,,,,,,,T,,S,,,,,S,T,,,,,S,T,,
6,7,2011,42.9770512,75.8892474,,D,250.0,,,,D,,M,,,,,,,,,,M,,,,S,,,,,M,,,,,,,S,T,,,,,,,,,,,
7,8,2011,42.9770271,75.8884454,,M,62.5,,,,M,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,S,,,S,,,,,,,,,
8,9,2011,42.9769913,75.88726,,D,156.25,,,,M,,S,,,,,,,T,,,M,,,,S,,,,,,,,,,,,,,,S,,,,,S,T,S,,
9,10,2011,42.9766792,75.8870589,,M,62.5,,,,S,S,S,,,S,,,,,,,S,,,,,,,,,S,,,,,,,,,,S,T,,,,,,S,,
10,11,2011,42.9765257,75.8878652,,M,62.5,,,,M,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,,S,,S,,,,,,,,,
11,12,2011,42.976554,75.8888094,,D,131.5,,,,M,S,S,,,,,,,,,,M,,,,S,,,,,,,,,,,,,,,S,,,,,,,,,
12,13,2011,42.9765976,75.8901296,,D,250.0,,,,S,,T,,,S,,,,T,,,D,,,,T,,S,,,,,,,,,,,,,S,,,,,,,S,,
13,14,2011,42.9759387,75.8904761,,M,37.75,,,,T,S,,,,S,,,,,,,S,,,,,,,,,S,,,,,,,T,,,T,,,,,,,S,,
14,15,2011,42.9758036,75.8895223,,S,13.0,,,,S,T,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
15,16,2011,42.9758839,75.8883072,,D,250.0,,,,D,,S,,,,,,,,,,M,,,,S,,,,,,,,,,,,,,,S,,,,,,,,,
16,17,2011,42.9759918,75.887147,,M,37.75,,,,S,,T,,,,,,,,T,,S,,,,S,,,,,,,,,,,,,,,T,,,,,,,S,,
17,18,2011,42.975287,75.8866842,,D,250.0,,,,M,,M,,,,,,,,,,M,,,,S,,,,,S,,,,,,,,,,S,,,,,,,,,
18,19,2011,42.9750457,75.8874802,,D,250.0,,,,D,,S,,,,,,,,,,,,S,,T,,,,,,,,,,,,,T,,T,,,,,,,,,
19,20,2011,42.9750334,75.8882365,,D,250.0,,,,D,,S,,,,,,,,,,S,,S,,S,,,,,,,,,,,,,T,,S,,,,,,,,,
20,21,2011,42.9749651,75.8893911,,D,156.25,,,,M,,T,,,,,,,,,,M,,,,S,,,,,,,,,,S,,M,,,T,,,,,,,,,
21,22,2011,42.9748581,75.89047,,S,13.0,,,,,T,S,,,,,,,,,,T,,,,S,,,,,S,,,,,,,S,,,T,,,,T,,,T,,
22,23,2011,42.9740548,75.8901428,,S,13.0,,,,S,T,S,,,,,,,,,,T,,,,S,,,,,S,,,,,,,,,,,,,,,,,,,
23,24,2011,42.9739341,75.8893533,,M,37.75,,,,S,,,,,,,,,,,,,,,,S,,,,,S,,,,,S,,,,,T,,,,,,,,,
24,25,2011,42.9740021,75.8878303,,D,250.0,,,,D,,S,,,,,,,,,,T,,,,S,,,,,,,,,,,,,,,S,,,,,,,,,
25,26,2011,42.9741368,75.8868632,,D,131.5,,,,M,,,,,,,,,,,,M,,T,,S,,,,,,,,,,T,,,,,T,,,,,,,,,
26,27,2011,42.9743156,75.8861365,,S,13.0,,,,S,S,S,,,,,,,,,,S,,,,S,,,,,,,,,,,,,,,T,,,,,,,S,,
27,28,2011,42.9748021,75.8838658,,M,62.5,,,,S,S,T,,,S,,,,,,,M,,,,,,,,,,,,,S,S,,,,,,,,,,,,T,,
28,29,2011,42.9750385,75.883328,,M,62.5,,,,,,S,,,T,,,,,M,,S,,,,,,,,,S,,,,S,,,S,,,T,,,,,,,S,,
29,30,2011,42.9752415,75.8825262,,M,62.5,,,,S,,S,,,,,,,,S,,M,,,,,,,,,S,,,,,,,,,,T,,,,,,,S,,
30,31,2011,42.9754028,75.8816964,,S,6.75,,,,,,,,,S,,,,,,,S,,,,,,,,,T,,,,,S,,T,,,,,,,,,,T,,
31,32,2011,42.9752738,75.8809542,,S,13.0,,,,T,S,T,,,S,,,,,T,,S,,,,,,,,,,,,,,S,,,,,T,,,,,,,T,,
32,33,2011,42.9750154,75.8813339,,M,37.75,,,,,S,T,,,,,,,,,,S,,,,,,,,,,,,,,M,,,,,,,,,T,,,T,,
33,34,2011,42.9748007,75.8823264,,M,62.5,,,,S,S,S,,,S,,,,,,,S,,,,,,,,,S,,,,,S,,,,,S,,,,,,,S,,
34,35,2011,42.9745808,75.8831918,,S,13.0,,,,,S,T,,,T,,,,,,,T,,,,T,,,,,,,,,,T,,,,,T,,,,,,,T,,
35,36,2011,42.9744812,75.8839023,,M,62.5,,,,S,M,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,2011,42.974717,75.8804605,,S,13.0,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,T,,
37,38,2011,42.9745272,75.8812385,,M,62.5,,,,S,,S,,,,,,,,,,S,,,,,,S,,,,,,,,S,,,,,S,,,,,,,M,,
38,39,2011,42.9742522,75.8821871,,D,156.25,,,,M,,S,,,T,,,,,,,D,,,,,,,,,,,,,,S,,,,,T,,,,,,,,,
39,40,2011,42.9739459,75.8833035,,S,13.0,,,,S,,T,,,,,,,T,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,2011,42.9737157,75.884369,,S,13.0,,,,,S,T,,,T,,,,T,,,S,,,,,,,,,,,,,,,,T,,,T,,,,,,,T,,
41,42,2011,42.9735318,75.8851375,,M,37.75,,,,,,T,,,,,,,T,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
42,43,2011,42.9734209,75.8861874,,D,250.0,,,,D,,S,,,,,,,,,,M,,,,,,,,,,,,,,S,,S,,,S,,,,,,,,,
43,44,2011,42.9732563,75.8871586,,D,156.25,,,,D,,,,,,,,,,,,S,,,,S,,,,,,,,,,,,,,,S,,,,,,,,,
44,45,2011,42.9730965,75.8879853,,D,250.0,,,,D,,M,,,,,,,,,,M,,,,,,,,,,T,,,,,,,,,S,,,,,,,,,
45,46,2011,42.9727927,75.8888289,,D,250.0,,,,D,S,S,,,S,,,,,,,M,,,,T,S,,,,,,,,,,,,,,T,,,,,,,,,
46,47,2011,42.9722803,75.8881861,,M,62.5,,,,S,,T,,,S,,,,,S,,S,,,,T,S,,,,,,,,,,,,,,S,,,,,,,S,,
47,48,2011,42.9723151,75.8873411,,D,250.0,,,,D,T,S,,,,,,,,,,M,,,,S,,,,,,,,,,,,M,,,,,,,,,,,,
48,49,2011,42.9723966,75.8862069,,M,62.5,,,,M,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,
49,50,2011,42.9727738,75.8849941,,D,250.0,,,,M,,M,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,T,,,,S,,,,,
50,51,2011,42.9730606,75.8842895,,D,156.25,,,,S,,S,,,,,,,,,,D,,,,,,,,,S,,,,,,,,,,T,,,,,,,,,
51,52,2011,42.9732875,75.88337,,M,37.75,,,,S,,S,,,,,,,,,,S,,T,,,,,,,,,,,,,,,,,T,,,,T,,,,,
52,53,2011,42.9735879,75.8826265,,D,131.5,,,,S,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,S,,,,S,,,,,
53,54,2011,42.9737212,75.8815971,,D,131.5,,,,D,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,S,,,,,,,,,
54,55,2011,42.9739382,75.8807551,,D,156.25,,,,D,,M,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,S,,,,T,,,,,
55,56,2011,42.9743169,75.8799511,,S,13.0,,,,,S,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
56,57,2011,42.9736845,75.8794947,,M,62.5,,,,S,S,S,,,,,,,,,,S,,,,,,,,,,,,,,S,,,S,,S,,,,,,,S,,
57,58,2011,42.9734881,75.8801008,,M,62.5,,,,S,,M,,,,,,,,,,,,,,,,,,,S,,,,,S,,S,,,T,,,,,,,T,,
58,59,2011,42.9730344,75.8811633,,S,13.0,,,,T,,T,,S,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,2011,42.9725813,75.8825812,,S,6.75,,,,S,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
60,61,2011,42.9724011,75.883566,,S,13.0,,,,S,S,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
61,62,2011,42.9721624,75.8844711,,D,156.25,,,,D,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
62,63,2011,42.9719054,75.8852373,,D,156.25,,,,M,,D,,,,,,,,,,S,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
63,64,2011,42.9717794,75.8861146,,M,37.75,,,,S,S,,,,,,,,,,,S,,,,S,,,,,S,,,,,T,,,,,,,,,,,,,,
64,65,2011,42.9716586,75.8868663,,M,62.5,,,,S,,S,,,S,,,,,S,,M,,,,,S,,,,S,,,,,,,,,,S,,,,,,,T,,
65,66,2011,42.9715393,75.8857554,,M,62.5,,,,,M,,,,,,,,,,,S,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
66,67,2011,42.9715242,75.8848803,,M,37.75,,,,,S,S,,T,S,,,,,,,S,,,,,,,,,,,,,,,,,T,,,S,,,,,,S,,
67,68,2011,42.9716138,75.8840747,,M,62.5,,,,S,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,S,,,S,,,,,,
68,69,2011,42.971902,75.8833566,,D,131.5,,,,D,,T,,,,,,,,,,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,2011,42.972166,75.8825192,,D,156.25,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,2011,42.9722997,75.8813674,,M,31.5,,,,M,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,2011,42.9730035,75.879904,,M,62.5,,,,S,,S,,,,,,,,,,,,,,T,,,,,S,,,,,,,,,,,,,,,,,S,,
72,73,2011,42.9732028,75.8792463,,M,37.75,,,,,S,T,,,,,,,,,,S,,,,,,,,,,,,,S,S,,,,,,,,,,,,T,,
73,74,2011,42.9722799,75.8787055,,M,62.5,,,,,,S,,,S,,,,,S,,S,,,,,,,,,S,,,,,S,,,,,S,,,,,,,S,,
74,75,2011,42.971908,75.8793918,,D,156.25,,,,M,,M,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,S,,,,,,,S,,
75,76,2011,42.9716923,75.8804835,,T,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,2011,42.9714348,75.8818995,,S,6.75,,,,,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,2011,42.9712043,75.8832194,,D,250.0,,,,D,,M,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,M,,,,,,,T,,
78,79,2011,42.9705937,75.8828932,,M,37.75,,,,,S,S,,T,S,,,,T,,,,,S,,,,,,,S,,,,,S,,,,,S,,,,,,,S,,
79,80,2011,42.970566,75.8820202,,S,6.75,,,,S,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,S,,,S,,,,,
80,81,2011,42.9707304,75.8809406,,T,0.5,,,,T,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,2011,42.97124,75.87953,,D,250.0,,,,D,,M,,T,,,,,T,,,M,,,,,,,,,,,,,,,,,,,S,,,,,,,,,
82,83,2011,42.9710137,75.8783806,,M,62.5,,,,,M,S,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,S,,,,,,,T,,
83,84,2011,42.9702305,75.8792937,,M,62.5,,,,,,S,,,S,,,,,,,S,,S,,,,,,,,,,,S,,,S,,,,,,,,,,S,,
84,85,2011,42.9699584,75.8802035,,M,37.75,,,,S,,T,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,S,,,,,,,,,
85,86,2011,42.9699251,75.8811233,,D,250.0,,,,D,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,2011,42.9698364,75.8819048,,D,250.0,,,,D,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,M,,,,,
87,88,2011,42.9697445,75.8823727,,D,250.0,,,,,M,M,,,,,,,,,,D,,,,,,,,,,,,,,M,,S,,,,,,,,,,S,,
88,89,2011,42.9690662,75.8821374,,M,62.5,,,,,,S,,,S,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
89,90,2011,42.9690518,75.881357,,T,0.5,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91,2011,42.9690485,75.8802482,,M,37.75,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,S,,,,,,,,,
91,92,2011,42.9690193,75.8790655,,S,13.0,,,,,S,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93,2011,42.9690882,75.8782033,,S,13.0,,,,S,,S,,,,,,,,,,,T,S,,,,,,,,,,,,,,,,,,,,,,,,S,,
93,94,2011,42.9687384,75.8771237,,S,13.0,,,,,S,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
94,95,2011,42.968528,75.8780253,,S,13.0,,,,T,S,T,,T,,,,,,,,,T,S,,,,,,,,,,,,T,,,,,,,,,,,,T,,
95,96,2011,42.9682861,75.8790745,,S,13.0,,,,,S,,,,,,,,,,,,T,,,,,,,,,,,,S,,,,,,,,,,,,,,,
96,97,2011,42.9680104,75.8800484,,S,13.0,,,,,S,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98,2011,42.9679045,75.8807838,,M,62.5,,,,,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,S,S,,,,,,S,,,,,
98,99,2011,42.9677924,75.881276,,M,62.5,,,,S,,M,,,S,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
99,100,2011,42.9672178,75.880892,,M,37.75,,,,,,S,,,S,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
100,101,2011,42.967334,75.879929,,M,62.5,,,,S,,,,,,,,,,,,S,,,,,,,,,,,,,,S,,,,,,,,,,,,S,,
101,102,2011,42.9673922,75.8787366,,S,13.0,,,,T,S,T,,,,,,,,,,S,,S,,,,,,,,,,,,,,,,,,,,,,,,S,,
102,103,2011,42.9675851,75.8774752,,S,13.0,,,,,S,,,,,,,,,,,T,,S,,T,,,,,,,,,S,S,,,,,,,,,,,,S,,
103,104,2011,42.9677963,75.8766177,,S,13.0,,,,,S,,,,,,,,,,,,,S,,,,,,,,,,,T,,,,,,,,,,,,,,,
104,105,2011,42.967126,75.876386,,S,13.0,,,,,S,,,,T,,,,,,,T,T,S,,,,,,,,,,,,,,,,,T,,,,,,,S,,
105,106,2011,42.9669547,75.8776315,,S,13.0,,,,,S,,,T,,,,,,,,,T,,,,,,,,,,,,T,T,,,,,,,,,,,,,,
106,107,2011,42.9666414,75.8786547,,S,13.0,,,,S,S,,,T,,,,,,,,T,T,,,,,,,,,,,,,S,,,,,,,,,,,,,,
107,108,2011,42.9665132,75.8797,,D,250.0,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
108,109,2011,42.9662921,75.8806225,,M,37.75,,,,S,T,S,,,S,,,,,S,,S,,,,,,,,,,,,S,T,,,,,,,,,,,,,S,,
109,110,2011,42.9656107,75.8804896,,M,62.5,,,,,M,T,,,,,,,,,,S,,,,,S,,,,,,,,,,,,,,,,,,,,,,,
110,111,2011,42.9656859,75.8793787,,S,13.0,,,,,,,,T,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
111,112,2011,42.9659134,75.8780624,,D,131.5,,,,D,T,S,,,,,,,,,,S,,T,,,,,,,,,,,,S,,,,,T,,,,,,,,,
112,113,2011,42.9661259,75.8768841,,S,13.0,,,,,S,S,,,T,,,,,,,S,S,T,,,,,,,,,,,,T,,,,T,,,,,,,,T,,
113,114,2011,42.9663321,75.8760186,,S,13.0,,,,,S,T,,,S,,,,,,,T,,T,,,,,,,,,,,T,T,,,,,T,,,,,,,T,,
114,115,2011,42.9657158,75.8754783,,S,13.0,,,,,,S,,,S,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
115,116,2011,42.9655924,75.8764797,,S,13.0,,,,,S,T,,T,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,,
116,117,2011,42.9651539,75.8778159,,S,13.0,,,,S,,T,,T,S,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,2011,42.9648903,75.8788614,,S,13.0,,,,,,,,T,,,,,,,,S,,,,,,,,,,,,,,S,,,,,,,,,,,S,S,,
118,119,2011,42.9646217,75.8798919,,S,13.0,,,,,S,T,,,,,,,,,,T,,,,,,,,,,,,,,S,,,,,,,,,,,,,,
119,120,2011,42.9638469,75.8796666,,M,37.75,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,T,,
120,121,2011,42.9639872,75.8786539,,M,37.75,,,,S,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,M,,
121,122,2011,42.9640562,75.8771422,,M,37.75,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,
