,Sample_Point_(SP),Year,Date,Rake_toss_#,Latitude,Longitude,Depth,Rake_Abundance,PERCENT,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Juncus_sp.,Lemna_minor,Lemna_trisulca,Ludwigia_sp.,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris,Zosterella_dubia,Abundance_calcs
532,267,2012,,1.0,42.9430003,75.8619454,0.6,S,,,,,,90.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
533,267,2012,,2.0,42.9430003,75.8619454,0.6,S,,,,,,65.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,0.01,,,,
534,268,2012,,1.0,42.9433829,75.8627976,2,M,,,5.0,,10.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,0.01,,,,0.01,,,15.0,,,,
535,268,2012,,2.0,42.9433829,75.8627976,2,M,,,5.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,10.0,,,0.01,,,,,,,40.0,,,,
536,269,2012,,1.0,42.9435759,75.8636029,3,M,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,0.01,,,,
537,269,2012,,2.0,42.9435759,75.8636029,3,M,,,0.01,,15.0,,1.0,,,,,,,,,,,,0.01,,,,,,,,,,,,,,50.0,,,,,,,,30.0,,,4.0,,,,
538,270,2012,,1.0,42.9439633,75.863017,2.5,M,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,10.0,,,,
539,270,2012,,2.0,42.9439633,75.863017,2.5,M,,,,,70.0,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,10.0,,,,0.01,,,,5.0,,,15.0,,,,
540,271,2012,,1.0,42.9438943,75.8620015,1.3,M,,,15.0,,,,5.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,55.0,,,,5.0,,,,,,,10.0,,,,
541,271,2012,,2.0,42.9438943,75.8620015,1.3,S,,,20.0,,,25.0,10.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,15.0,,,,,,,20.0,,,,
542,272,2012,,1.0,42.944415,75.8622345,1.3,S,,,5.0,,,10.0,15.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,45.0,10.0,,,,,,,0.01,,,5.0,,,5.0,
543,272,2012,,2.0,42.944415,75.8622345,1.3,M,,,20.0,,10.0,,15.0,,,,,,,,,,20.0,,,,,,,,,,,,,,,,35.0,0.01,,,0.01,,,,,,,0.01,,,0.01,
544,273,2012,,1.0,42.9445962,75.8629703,3.6,S,,,0.01,,90.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
545,273,2012,,2.0,42.9445962,75.8629703,3.6,M,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,
546,274,2012,,1.0,42.9451239,75.8629946,3.6,M,,,0.01,,100.0,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,274,2012,,2.0,42.9451239,75.8629946,3.6,D,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,0.01,,,5.0,,,,
548,275,2012,,1.0,42.9456313,75.8626944,1.2,S,,,,,35.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,5.0,,,,
549,275,2012,,2.0,42.9456313,75.8626944,1.2,S,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,0.01,,,0.01,
550,276,2012,,1.0,42.9461594,75.8629479,1.5,M,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,1.0,,,,,,,0.01,,,,
551,276,2012,,2.0,42.9461594,75.8629479,1.5,S,,,,,,20.0,30.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,15.0,
552,277,2012,,1.0,42.9467601,75.8633492,1.4,S,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,20.0,
553,277,2012,,2.0,42.9467601,75.8633492,1.4,T,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,85.0,
554,278,2012,,1.0,42.9474827,75.864002,2.1,T,,,,,10.0,,68.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,10.0,,,,
555,278,2012,,2.0,42.9474827,75.864002,2.1,S,,,5.0,,25.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,35.0,,,,
556,279,2012,,1.0,42.948238,75.8643577,1.6,T,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
557,279,2012,,2.0,42.948238,75.8643577,1.6,S,,,0.01,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,35.0,
558,280,2012,,1.0,42.9490292,75.8648116,2.1,T,,,,,,1.0,35.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,50.0,,,,,,,,,,,12.0,,,,
559,280,2012,,2.0,42.9490292,75.8648116,2.1,S,,,,,0.01,,70.0,,,,,,,,,,,,0.01,,15.0,,,,,,,,,,,,,,,,,,,,,,,0.01,,,15.0,
560,281,2012,,1.0,42.9500374,75.86442,0.7,T,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,35.0,
561,281,2012,,2.0,42.9500374,75.86442,0.7,T,,,,,,4.0,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,70.0,
562,282,2012,,1.0,42.9503459,75.8651772,3.1,D,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,
563,282,2012,,2.0,42.9503459,75.8651772,3.1,M,,,,,75.0,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,10.0,,,,,,,,,,,5.0,,,,
564,283,2012,,1.0,42.9511007,75.8653115,3.5,M,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
565,283,2012,,2.0,42.9511007,75.8653115,3.5,M,,,,,100.0,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
566,284,2012,,1.0,42.9514316,75.8640595,1,M,,,,,20.0,4.0,1.0,,,,,,,,,,0.01,,,,,,,,,,,,,,,60.0,,,,,0.01,,,,,,,0.01,,,15.0,
567,284,2012,,2.0,42.9514316,75.8640595,1,M,,,,,10.0,5.0,,,,,,,,,,,5.0,,,,0.01,,,,,,,30.0,,,,35.0,15.0,,,,,,,,,,,,,,0.01,
568,285,2012,,1.0,42.9521846,75.8644271,0.4,T,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,
569,285,2012,,2.0,42.9521846,75.8644271,0.4,T,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,34.0,,,,
570,286,2012,,1.0,42.9519156,75.8653291,2,S,,,,,,95.0,,,,,,,,,,,,,,0.01,5.0,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
571,286,2012,,2.0,42.9519156,75.8653291,2,M,,,,,,90.0,,,,,,,,,,,,,,0.01,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,0.01,,,,
572,287,2012,,1.0,42.9526089,75.8660617,3.1,T,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,
573,287,2012,,2.0,42.9526089,75.8660617,3.1,S,,,,,40.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,10.0,,,15.0,,,,,,,,5.0,,,,
574,288,2012,,1.0,42.9530069,75.8655404,0.7,T,,,,,,,2.0,,,,,,,,,,,,2.0,,15.0,,,,,,,,,,1.0,,,,,,,,,,,,,80.0,,,,
575,288,2012,,2.0,42.9530069,75.8655404,0.7,T,,,,,,,,,,,,,,,,,,,,20.0,60.0,,,,,,,,,,5.0,,,,,,,,,,,,,15.0,,,,
576,289,2012,,1.0,42.9534451,75.8659849,1.1,T,,,,,20.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,20.0,,,,,,,,,,,,,15.0,,,25.0,
577,289,2012,,2.0,42.9534451,75.8659849,1.1,S,,,,,,,5.0,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,15.0,
578,290,2012,,1.0,42.9543054,75.8668946,1.4,S,,,,,,1.0,20.0,,,,,,,,,,,,35.0,3.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,15.0,,,20.0,
579,290,2012,,2.0,42.9543054,75.8668946,1.4,S,,,,,0.01,,45.0,,,,,,,,,,,,45.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
580,291,2012,,1.0,42.955272,75.8673729,1.6,M,,,,,,,30.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,35.0,,,,,,,,5.0,,,0.01,,,0.01,
581,291,2012,,2.0,42.955272,75.8673729,1.6,M,,,,,,,55.0,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,10.0,,15.0,,,0.01,,,,,,,5.0,,,7.0,
582,292,2012,,1.0,42.956164,75.8674418,1,M,,,,,25.0,0.01,0.01,,,,,,,,,,,,25.0,0.01,15.0,,,,,,,,,,,,35.0,,,,0.01,,,,,,,,,,,
583,292,2012,,2.0,42.956164,75.8674418,1,D,,,,,10.0,,7.0,,,,,,,,,,,,35.0,,0.01,,,,,,,,,,,30.0,15.0,,,,,0.01,,,,,,0.01,,,3.0,
584,293,2012,,1.0,42.9569735,75.8674162,1.2,S,,,,,25.0,,5.0,,,,,,,,,,0.01,,,,10.0,,,,,,,,,,,30.0,20.0,,,,,,,,3.0,,,5.0,,,2.0,
585,293,2012,,2.0,42.9569735,75.8674162,1.2,M,,,0.01,,,0.01,5.0,,,,,,,,,,0.01,,80.0,,5.0,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,10.0,
586,294,2012,,1.0,42.95787,75.8675725,1.1,S,,,,,,90.0,,,0.01,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
587,294,2012,,2.0,42.95787,75.8675725,1.1,M,,,0.01,,,10.0,5.0,,0.01,,,,,,,,0.01,,45.0,,,,,,,,,,,,,35.0,,,,,,,,,,,,5.0,,,0.01,
588,295,2012,,1.0,42.9576552,75.8686008,2.1,M,,,0.01,,10.0,0.01,50.0,,,,,,,,,,,,30.0,,2.0,,,,,,,,,,,,,,,,0.01,,,,3.0,,,5.0,,,,
589,295,2012,,2.0,42.9576552,75.8686008,2.1,M,,,,,,2.0,30.0,,,,,,,,,,,,45.0,,2.0,,,,,,,,,,,5.0,5.0,,,,,,,,10.0,,,0.01,,,1.0,
590,296,2012,,1.0,42.9578858,75.8695389,3.2,M,,,,,,,50.0,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,0.01,,,,
591,296,2012,,2.0,42.9578858,75.8695389,3.2,D,,,,,0.01,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,
592,297,2012,,1.0,42.9586886,75.869385,1.8,T,,,,,,,45.0,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
593,297,2012,,2.0,42.9586886,75.869385,1.8,S,,,,,,5.0,15.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,20.0,30.0,10.0,,,,,,,,,,10.0,,,5.0,
594,298,2012,,1.0,42.9591254,75.8700775,1.5,T,,,,,,,70.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,10.0,
595,298,2012,,2.0,42.9591254,75.8700775,1.5,T,,,,,,,10.0,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
596,299,2012,,1.0,42.9596503,75.8706272,1.3,S,,,,,,90.0,,,,,,,,,,,,,0.01,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
597,299,2012,,2.0,42.9596503,75.8706272,1.3,S,,,,,7.0,,30.0,,,,,,,,,,,,25.0,0.01,10.0,,,,,,,,,,,,,15.0,,,,,,,,,,3.0,,,10.0,
598,300,2012,,1.0,42.9604199,75.8713875,2,S,,,,,5.0,,,,,,,,,,,,,,5.0,10.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,300,2012,,2.0,42.9604199,75.8713875,2,S,,,,,5.0,,5.0,,,,,,,,,,,,,10.0,60.0,,,,,,,,,,,,,,,15.0,,,,,,,,5.0,,,,
600,301,2012,,1.0,42.9612187,75.8718822,2,S,,,,,,50.0,5.0,,,,,,,,,,,,,,45.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
601,301,2012,,2.0,42.9612187,75.8718822,2,S,,,,,,,5.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,55.0,,,,,,,,,,0.01,25.0,,,10.0,
602,302,2012,,1.0,42.9618373,75.8722143,,T,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,50.0,
603,302,2012,,2.0,42.9618373,75.8722143,,S,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,0.01,
604,303,2012,,1.0,42.94849,75.86648,2,D,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
605,303,2012,,2.0,42.94849,75.86648,2,D,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,304,2012,,1.0,42.94836,75.86651,,D,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,304,2012,,2.0,42.94836,75.86651,,D,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2013,,1.0,42.97768,75.88696,,M,,,,,60.0,,25.0,+,0.01,,,,,0.01,0.01,,,,0.01,,,,,,,,,,,,,,,,,,5.0,10.0,,0.01,,0.01,,,0.01,,,3
1,1,2013,,2.0,42.97768,75.88696,,M,,,,,80.0,,20.0,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,0.01,,,3
2,2,2013,,1.0,42.9775198,75.8872126,,D,,,,,85.0,,10.0,+,,,,,,0.01,,,,,3.0,,,,,,,,,,0.01,,,,,,,,,2.0,,0.01,,,,,0.01,,,4
3,2,2013,,2.0,42.9775198,75.8872126,,M,,,,,80.0,,20.0,+,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,0.01,,,3
4,3,2013,,1.0,42.9776614,75.887699,,D,,,,,80.0,,10.0,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,0.01,0.01,,,,,,,0.01,,,4
5,3,2013,,2.0,42.9776614,75.887699,,D,,,,,90.0,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,0.01,,,4
6,4,2013,,1.0,42.9776742,75.8883369,,M,,,,,10.0,5.0,0.01,+,,,,,,,,,,,25.0,,,,0.01,,,,,,0.01,,,,,,,,10.0,50.0,,,,,,,0.01,,,3
7,4,2013,,2.0,42.9776742,75.8883369,,M,,,,,85.0,,,,,,,,,,,,,,5.0,,,,0.01,,,,,,5.0,,,,,,,,,5.0,,,,,,,0.01,,,3
8,5,2013,,1.0,42.9775424,75.8893554,,M,,,,,25.0,,0.01,,0.01,,,,,,,,,,50.0,,,,10.0,0.01,,,,,0.01,,,,,,,,,15.0,,,,,,0.01,0.01,,,3
9,5,2013,,2.0,42.9775424,75.8893554,,D,,,,,10.0,,,,,,,,,0.01,,,,,70.0,,,,1.0,0.01,,,,2.0,,,,,,2.0,,,,5.0,,,,,,10.0,0.01,,,4
10,6,2013,,1.0,42.9772273,75.8898137,,M,,,,,10.0,10.0,0.01,,,,,,,,,,,,,,,,10.0,,,,,,0.01,,,,,,,,5.0,65.0,,,,,,,,,,3
11,6,2013,,2.0,42.9772273,75.8898137,,M,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,,,,0.01,,,,,,,,0.01,8.0,,,,,,0.01,,,,3
12,7,2013,,1.0,42.9770512,75.8892474,,S,,,,,15.0,,,,,,,,,,,,,,75.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2
13,7,2013,,2.0,42.9770512,75.8892474,,S,,,,,84.0,,3.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,8.0,,,,,,,,,,,1.0,,,,2
14,8,2013,,1.0,42.9770271,75.8884454,,M,,,,,90.0,,0.01,+,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,10.0,0.01,,,,,,,,,,3
15,8,2013,,2.0,42.9770271,75.8884454,,S,,,,,90.0,,,,,,,,,,,,,,5.0,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,2
16,9,2013,,1.0,42.9769913,75.88726,,M,,,,,74.0,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,20.0,,,,,,,,,,3
17,9,2013,,2.0,42.9769913,75.88726,,S,,,,,2.0,,5.0,,,,,,,,,,,,2.0,,,,,,,,,,90.0,,,,,,,,1.0,,,,,,,,,,,2
18,10,2013,,1.0,42.9766792,75.8870589,,S,,,20.0,,30.0,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,2
19,10,2013,,2.0,42.9766792,75.8870589,,S,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,2
20,11,2013,,1.0,42.9765257,75.8878652,,S,,,,,80.0,,,,,,,,,,,,,,15.0,,,,0.01,,,,,,,,,,,,,,5.0,,,,,,,,,,,2
21,11,2013,,2.0,42.9765257,75.8878652,,S,,,,,90.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,2
22,12,2013,,1.0,42.976554,75.8888094,,D,,,,,100.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,   ,,,,,,4
23,12,2013,,2.0,42.976554,75.8888094,,D,,,,,100.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
24,13,2013,,1.0,42.9765976,75.8901296,,S,,,,,5.0,10.0,0.01,,,,,,,,,,,,5.0,,,,40.0,,,,,,0.01,,,,,,,,5.0,5.0,,,,,,30.0,,,,2
25,13,2013,,2.0,42.9765976,75.8901296,,M,,,,,1.0,85.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,10.0,,,,,,0.01,,,,3
26,14,2013,,1.0,42.9759387,75.8904761,,D,,,0.01,,,100.0,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,0.01,,,0.01,,,,,,,4
27,14,2013,,2.0,42.9759387,75.8904761,,M,,,,,2.0,85.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,3
28,305,2013,,1.0,42.97715,75.88712,,D,,,,,40.0,,5.0,+,,,,,,0.01,0.01,,,,5.0,,,,47.0,,,,,,0.01,,,,,,,,,3.0,,,,,,0.01,,,,4
29,305,2013,,2.0,42.97715,75.88712,,S,,,10.0,,5.0,,,,,,,,,,,,,,80.0,,,,5.0,,,,,,0.01,,,,,,,,,,,,,,,,,,,2
30,15,2013,,1.0,42.9758036,75.8895223,,D,,,,,90.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,4
31,15,2013,,2.0,42.9758036,75.8895223,,M,,,,,,,,,,,,,,,,,,,95.0,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,3
32,16,2013,,1.0,42.9758839,75.8883072,,D,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,4
33,16,2013,,2.0,42.9758839,75.8883072,,D,,,0.01,,100.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,4
34,17,2013,,1.0,42.9759918,75.887147,,D,,,0.01,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,4
35,17,2013,,2.0,42.9759918,75.887147,,S,,,0.01,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,2
36,18,2013,,1.0,42.975287,75.8866842,,D,,,,,5.0,,0.01,,,,,,,,,,,,95.0,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,4
37,18,2013,,2.0,42.975287,75.8866842,,D,,,4.0,,5.0,,0.01,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,1.0,0.01,,,2.0,,,,,,,4
38,19,2013,,1.0,42.9750457,75.8874802,,D,,,,,100.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,4
39,19,2013,,2.0,42.9750457,75.8874802,,D,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
40,20,2013,,1.0,42.9750334,75.8882365,,D,,,,,100.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,4
41,20,2013,,2.0,42.9750334,75.8882365,,M,,,,,100.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,3
42,21,2013,,1.0,42.9749651,75.8893911,,D,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,4
43,21,2013,,2.0,42.9749651,75.8893911,,D,,,,,0.01,,,,,,,,,,,,,,100.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,4
44,22,2013,,1.0,42.9748581,75.89047,,S,,,,,68.0,,,,,,,,,,,,,,15.0,,,,10.0,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,2
45,22,2013,,2.0,42.9748581,75.89047,,S,,,,,28.0,70.0,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,2.0,0.01,,,,,,,,,,2
46,23,2013,,1.0,42.9740548,75.8901428,,M,,,0.01,,20.0,75.0,0.01,,,,,,,,,,,,0.01,,,,,,,,,,5.0,,,,,,,,0.01,0.01,,,,,,,,,,3
47,23,2013,,2.0,42.9740548,75.8901428,,S,,,,,0.01,10.0,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,2
48,24,2013,,1.0,42.9739341,75.8893533,,S,,,,,20.0,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,2
49,24,2013,,2.0,42.9739341,75.8893533,,S,,,,,50.0,50.0,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,2
50,25,2013,,1.0,42.9740021,75.8878303,,D,,,,,100.0,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,4
51,25,2013,,2.0,42.9740021,75.8878303,,D,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,4
52,26,2013,,1.0,42.9741368,75.8868632,,D,,,,,20.0,,,,,,,,,,,,,,5.0,,,,75.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,4
53,26,2013,,2.0,42.9741368,75.8868632,,D,,,,,4.0,,,,,,,,,,,,,,1.0,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,4
54,27,2013,,1.0,42.9743156,75.8861365,,M,,,5.0,,10.0,,30.0,,,,,,,,0.01,,,,37.0,,,,5.0,,,,,,10.0,,,,,,,,3.0,,,,,,,,,,,3
55,27,2013,,2.0,42.9743156,75.8861365,,M,,,,,40.0,3.0,1.0,,,,,,,,,,,,50.0,,,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,3
56,28,2013,,1.0,42.9748021,75.8838658,,M,,,,,62.0,,,,,,,,,,,,,,10.0,,,,,,,,,,0.01,,,,,,,,0.01,,,,0.01,,,8.0,,,20.0,3
57,28,2013,,2.0,42.9748021,75.8838658,,S,,,,,,70.0,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2
58,29,2013,,1.0,42.9750385,75.883328,,M,,,2.0,,5.0,28.0,,,0.01,,,,,,,,,,38.0,,,,,,,,,15.0,,,,,9.0,,,,,,,,,,,3.0,,,,3
59,29,2013,,2.0,42.9750385,75.883328,,M,,,5.0,,,0.01,,+,,,,,,,,,,,81.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,5.0,,,,3
60,30,2013,,1.0,42.9752415,75.8825262,,M,,,0.01,,,,4.0,,,,,,,,,,,,74.0,0.01,,,3.0,,,,,,,,,,,,0.01,,5.0,,,,,2,,10.0,,,2.0,3
61,30,2013,,2.0,42.9752415,75.8825262,,M,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,4.0,,,,0.01,,,,,,,6.0,,,,3
62,31,2013,,1.0,42.9754028,75.8816964,,S,,,5.0,,15.0,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,15.0,,,,10.0,,,,,,,45.0,,,,2
63,31,2013,,2.0,42.9754028,75.8816964,,S,,,2.0,,1.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,18.0,,,1.0,2
64,32,2013,,1.0,42.9752738,75.8809542,,S,,,15.0,,50.0,0.01,0.01,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,0.01,,,5.0,,,,,,,0.01,,,,2
65,32,2013,,2.0,42.9752738,75.8809542,,T,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,45.0,,,,,,,50.0,,,,1
66,33,2013,,1.0,42.9750154,75.8813339,,S,,,,,5.0,30.0,,,,,,,,,,,,,10.0,5.0,,,0.01,,,,,,,,,,50.0,,,,,,,,,,,0.01,,,,2
67,33,2013,,2.0,42.9750154,75.8813339,,S,,,,,,60.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,5.0,,,,2
68,34,2013,,1.0,42.9748007,75.8823264,,M,,,0.01,,10.0,80.0,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,10.0,,,,,,,,,,,,,,3
69,34,2013,,2.0,42.9748007,75.8823264,,T,,,1.0,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,1.0,,,,1
